origpathname,unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
Buprestidae/Buprestis panamensis 40308cz12.jpg,11,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/11.jpg,Buprestis panamensis,Buprestis panamensis,Buprestidae,"",Buprestis,panamensis,,NT,CR,Costa Rica,,,,Ventral
Buprestidae/Buprestis panamensis 40313cz19.jpg,12,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/12.jpg,Buprestis panamensis,Buprestis panamensis,Buprestidae,"",Buprestis,panamensis,,NT,CR,Costa Rica,,,,Dorsal
Buprestidae/Buprestis rufipes 40339cz42.jpg,13,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/13.jpg,Buprestis rufipes,Buprestis rufipes,Buprestidae,"",Buprestis,rufipes,,NA,US,United States,Texas,,,Dorsal
Buprestidae/Calodema kirbyi 42025cz28.jpg,14,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/14.jpg,Calodema kirbyi,Calodema kirbyi,Buprestidae,"",Calodema,kirbyi,,AU,AU,Australia,Queensland ,South Johnstone ,,Dorsal
Buprestidae/Calodema plebeja 42029cz33.jpg,15,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/15.jpg,Calodema plebeja,Calodema plebeja,Buprestidae,"",Calodema,plebeja,,AU,AU,Australia,Queensland ,Cooktown,,Dorsal
Buprestidae/Calodema plebeja 42034.jpg,16,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/16.jpg,Calodema plebeja,Calodema plebeja,Buprestidae,"",Calodema,plebeja,,AU,AU,Australia,Queensland ,Cooktown,,Ventral
Buprestidae/Calodema regalis blairi AT 41974cz80.jpg,17,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/17.jpg,Calodema regalis blairi,Calodema regalis blairi AT,Buprestidae,"",Calodema,regalis,blairi,AU,PG,Papua New Guinea,Morobe ,Aseki,04/1991,Dorsal
Buprestidae/Calodema regalis blairi AT 41981.jpg,18,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/18.jpg,Calodema regalis blairi,Calodema regalis blairi AT,Buprestidae,"",Calodema,regalis,blairi,AU,PG,Papua New Guinea,Morobe ,Aseki,04/1991,Ventral
Buprestidae/Calodema regalis blairi AT 41985.jpg,19,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/19.jpg,Calodema regalis blairi,Calodema regalis blairi AT,Buprestidae,"",Calodema,regalis,blairi,AU,PG,Papua New Guinea,Morobe ,Aseki,04/1991,Labels
Buprestidae/Calodema ribbei 42035cz37.jpg,20,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/20.jpg,Calodema ribbei,Calodema ribbei,Buprestidae,"",Calodema,ribbei,,AU,PG,Papua New Guinea,Morobe ,Aseki,02/02/1992,Ventral
Buprestidae/Sternocera funebris 38544cz47.jpg,247,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/247.jpg,Sternocera funebris,Sternocera funebris,Buprestidae,"",Sternocera,funebris,,AT,,,,,,Dorsal
Buprestidae/Calodema ribbei 42038cz41.jpg,21,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/21.jpg,Calodema ribbei,Calodema ribbei,Buprestidae,"",Calodema,ribbei,,AU,PG,Papua New Guinea,Morobe ,Aseki,02/02/1992,Dorsal
Buprestidae/Calodema ribbei 42042cz49.jpg,22,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/22.jpg,Calodema ribbei,Calodema ribbei,Buprestidae,"",Calodema,ribbei,,AU,PG,Papua New Guinea,Morobe ,Aseki,02/02/1992,Lateral
Buprestidae/Capnodis anthracina 40281cz85.JPG,23,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/23.jpg,Capnodis anthracina,Capnodis anthracina,Buprestidae,"",Capnodis,anthracina,,PA,IR,"Iran, Islamic Republic of",Persia,,1891,Dorsal
Buprestidae/Capnodis anthracina 40291cz93.jpg,24,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/24.jpg,Capnodis anthracina,Capnodis anthracina,Buprestidae,"",Capnodis,anthracina,,PA,IR,"Iran, Islamic Republic of",Persia,,1891,Ventral
Buprestidae/Capnodis carbonaria 40196cz00.jpg,25,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/25.jpg,Capnodis carbonaria,Capnodis carbonaria,Buprestidae,"",Capnodis,carbonaria,,PA,SY,Syrian Arab Republic,,Adra-Nebek,,Dorsal
